고유번호,프로젝트,지역,주소,시도,시군구,읍면동,지역2,지구,용도,대지면적,건축면적,연면적,건폐율,용적률,지상층수,지하층수,구조,내부마감,외부마감,설계개념
D-00597,한국국제전시장,경기,경기 고양시 일산서구 대화동 2600 외 2필지,경기,고양시,일산서구 대화동 2600 외 2필지,주거지역,개발진흥지구,근린생활시설,223344.6,85168.47,117134.96,38.13,47.36,3,1,철근콘크리트조,,,■ 건축가 인터뷰(2012.10)    [작품배경]  국내의 부족한 전시장 시설을 확충하고 전시의 세계화 및 국제화의 중추적 거점 역할 수행을 위해 건립되었다.  *[출처] http://www.kihoilbo.co.kr/news/quickViewArticleView.html?idxno=48528
D-00599,고양 지축동주택,경기,경기 고양시 덕양구 지축동 310,경기,고양시,덕양구 지축동 310,주거지역,경관지구,단독주택,329.4,162.39,198.91,49.3,60.39,3,0,철근콘크리트조,,노출콘크리트,"동쪽으로 서울을 휘잡고 거대한 북한산이 한눈에 펼쳐져 있는 땅.  반대로 남측엔 나지막이 자리 잡고 있는 예쁜 마을 앞산을 바라볼 수 있는 땅.  지형의 굴곡이 많은 한반도의 지형과는 어울리지 않게 평탄하게 조성된 6,000여 평의 주변 부지 한가운데 자리 잡은 땅.  이 덩그런 땅 한가운데 집 두 채만 있지만, 그 한채가 또 다른 한채의 남쪽 서해를 완전히 가리고 있는 땅.  북으로는 군인 아파트 단지가 50여 미터 거리를 두고 우리를 내려다 보고 있는 땅.  서측으로는 은평뉴타운이라는 신도시가 200미터 턱 밑까지 치고 들어오고 있는 땅.  그리고 마지막으로 개발제한지역으로서 5,530여 평의 부지 중 기존 주택이 있던 100평만을 주택부지로 사용할 수 있는 땅.  이곳에 우리는 도심지 3세대 가족을 위한 주말주택을 설계한다.    도심지 사람들이 전원에 집을 짓기 위해 계획함은 우선 장연과의 밀도를 높이려는 욕구가 강하기 때문일 것이다. 구심적 공간계획의 도심지 건축에 비해 어찌 보면 비효율적으로 보일 길게 높인 공간계획은 자연과 접촉 밀도를 높일 수 있는 가장 기능적인 공간계획일 것이다. 자칫 길게 늘어트린 일방향적 공간계획에서 그 긴 매스를 모아줌으로써, 다방향적 공간체험이 가능해졌다."
D-00600,레스토랑 힐사이드,서울,서울시 용산구 한남동 4-7,서울,용산구,한남동 4-7,기타지역,미관지구,근린생활시설,313.24,148.83,445.14,,,2,2,조적조,,,
D-00603,용두리주택,경기,경기 고양시 용두리,경기,고양시,용두리,도시지역,취락지구,단독주택,,,,,,1,1,조적조,"목재 FLOORING, 한지",벽돌,
D-00605,일산주택(2),경기,경기 고양시 일산구 마두동 987-1,경기,고양시,일산구 마두동 987-1,농립지역,경관지구,단독주택,251,121.49,252.4,48.3,76.5,2,1,철근콘크리트조,"바닥:온돌마루,비닐계 시트  벽:석고보드위 비닐계페인트,벽지",페인트,"일산주택은 크지 않은 집이지만 우리시대 집의 한 전형에 대해 고민할 기회를 마련해준 프로젝트이다.  팔십평이 안되는 규모의 필지, 평당 이백오십만원의 빠듯한 예산, 그리고 다섯식구에 필요한 공간 등, 중산층 도시주택의 일반적인 조건을 갖추고 있다.  늘 새로운 상품을 발명해야 하는 이시대 작가들의 상황에서는 ‘전형’이라는 단어가 유통기간이 지난 상품처럼 보일지 모르지만 일산주택이 갖고 있는 평범한 프로그램을 통해 도시주택에 대한 일반해를 탐구하고 싶었다.  우리의 도시한옥이 그랬듯이 삶과 건축과의 밀접성, 어떠한 대지에도 들어갈 수 있는 융통성있는 문법, 그리고 정돈된 조형의 원리를 담아내고자 했다.    전형 또는 일반해가 될 수 있는 건축은 단순한 얼개속에 풍부한 내용을 담을 수 있어야 한다고 생각한다.  일산주택에서 시도하고 싶었던 것도 절제된 형식 속에 다양한 공간경험을 줄 수 있는 건축적 장치를 만들어 보는 것이었다. 그리고 무었보다 우주의 중심이자 그 자체로 소우주인 집을 만들고 싶었다.  먼저, 볼트형의 균질한 볼륨(3.6m×5.6m×Xm) 세개를 설정하고 그속에 필요한 공간들을 조직하면서 계획안을 만들어 나갔다.  세개의 덩어리들은 놓여지기에 따라 어떠한 대지에도 적응할 수 있는 집으로 만들 수 있었다. 또한 1층에서 부엌,식당/거실/주인침실 등의 세영역의 분화와 연결에도 잘 맞았고, 외부와 내부공간의 다양한 관계를 만들어가는 데에도 유리했다. 같은 폭과 높이의 매스를 반복해 쓰기보다는 각각의 매스가 나름의 크기와 형태를 갖게 하자는 유혹도 있었지만, 철저하게 단순화된 건축의 얼개속에 섬세하고 풍부한 공간과 형태를 얼마든지 담아낼 수 있다고 믿었다.  볼트가 노출된 2층 높이의 거실, 거실의 볼륨과 대비되는 낮고 긴 복도, 한층 볼트 높이의 가족실, 안방과 식당 앞의 75센치 폭의 툇마루, 정발산으로 트여있는 볼트 아래의 발코니, 거실과 연결된 아늑한 안마당 등 다채로운 공간을 마련해 보았다. 단순한 세개의 덩어리들은 내부공간 뿐 아니라 외부로도 나름의 표정을 만들어 내었다. 같은 크기의 덩어리지만 축의 방향을 돌리거나 조금씩 어긋나게 하여, 어느 방향에서도 다른 모습을 만들어 낼 뿐 아니라 다이나믹한 퍼스펙티브를 연출할 수 있었다.    대지 입구에서 시작하여 방에 이르기까지 여러 마디의 이야기가 있다.  대지의 입구에서 현관 쪽으로 바라보면, 외부에 대한 제스추어 역할을 하는 2층 높이로 열린 볼트가 보인다. 콩자갈이 박힌 진입마당을 지나면  2층 높이의 처마 아래로 트레버틴으로 된 포치와 현관을 만난다. 현관을 들어서면 간유리로 된 대형 유리벽을 보게되며 그 유리벽 뒤로 계단과 거실공간이 암시된다. 오른쪽으로 돌아 마루바닥에 올라서면 식당을 부분적으로 가리고 있는 유리 스크린을 만난다. 스크린 앞에서 기둥을 끼고 왼쪽으로 돌면 낮고 긴 복도가 펼쳐지는 데, 왼쪽으로는 계단과 2층높이의 거실이, 오른쪽으로는 식당과 안마당이 전개되고 복도의 끝으로 안방을 만난다. 거실과 그 주변으로 펼쳐진 공간을 감상하면서 간소하게 처리된 계단을 오르게되는데, 계단이 기대고 있는 벽은 현관에서 보았던 유리벽으로 거실과 계단쪽에서는 ‘빛나는 벽’의 효과를 연출한다. 2층에 도달하면 가족실을 만나고 거실 상부로 떠있는 복도를 따라가면서 다시 안마당과 거실을 내려다본다. 집의 각 공간은 나름의 외부를 갖는데 거실과 식당은 툇마루와 안마당,  안방은 툇마루와 안방마당, 그밖의 방들도 발코니나 테라스등을 가지면서 외부1(public)-내부-외부2(private)로 이르는 관계망속에 자리잡게 된다.     이 시대의 전형이 될만한 도시주택을 시도하고 싶다는 바램은 10여년전 줄자를 갖고 가회동의 한옥들을 재고 다니던 때부터 키어온 것이기는 하지만, 일산주택을 통해 어쩌면 가망없는 여정의 처음을 시작하게 된 것 같다.  이 여정의 기회를 만들어주고 도와준 오랜 친구 김복지 소장에게 깊은 고마움을 전한다."
D-00607,일산주택(1),경기,경기 고양시 일산동구 마두동 946-5,경기,고양시,일산동구 마두동 946-5,상업지역,경관지구,단독주택,250.9,122.45,212.23,48.8,84.58,2,1,조적조,,,
D-00609,일산주택(3),경기,경기 고양시 마두동 930,경기,고양시,마두동 930,도시지역,미관지구,단독주택,,,,,,0,0,,,,
D-00610,일산 ㄱ자집,경기,경기 고양시 일산동 1325-2,경기,고양시,일산동 1325-2,주거지역,,단독주택,229,102.83,171.68,44.9,75,2,0,철근콘크리트조,석고보드위 수서페인트칠,노출콘크리트,
D-00611,관음재,경기,경기 고양시 일산구 마두동 981,경기,고양시,일산구 마두동 981,도시지역,경관지구,단독주택,231.3,112.8,197.8,,,2,0,조적조,,,
D-00612,임거당,경기,경기 고양시 일산동구 정발산동 802-1,경기,고양시,일산동구 정발산동 802-1,준주거지역,시설보호지구,단독주택,232,108,199,,,2,1,철근콘크리트조,,,
D-00617,과천 381 3가구주택,경기,경기 과천시 과천동 381,경기,과천시,과천동 381,도시지역,개발진흥지구,단독주택,253,146.3,294.52,57.83,116.41,3,0,철근콘크리트조,,노출콘크리트,"76.6평의 개발제한구역 내의 땅을 받아들고 건축주들을 만났다. 취학 전 아이를 둔 두 부부와 아직 아이가 없는 부부, 세 가족의 집을 부탁받았다. 일종의 동호인 주택이라 부를 수 있는 집이였다. 30평씩 3세대, 각 세대당 침실 3개와 화장실 2개를 원했다. 아파트의 단단함을 떠나 한적하고 잔디가 있는 집을 원했지만, 요구의 기준이 되는 잣대는 아파트였다. 전용면적 30평짜리 아파트의 기본형적인 구성인 침실 3개와 화장실 2개였다.     연면적 90평 이하, 3층 이하, 높이 12미터 이하, 건폐율 60% 이하의 법규정에 맞춰, 30평씩 3층 3세대를 설계하는데 있어서 첫 출발은 높이 12미터의 제한어었다. 12미터는 1층 바닥과 파라펫을 제외한다면 대략 3.5층의 높이이다. 1/2층의 여유를 각각의 3세대에 나눠주는 것이 설계의 출발이었다. 각각의 세대는 남쪽을 향한 3베이 중의 한베이를 순차적으로 복층 높이 공간으로 갖게 되었다.    북쪽과 동쪽 입면을 따라 배치된 계단을 따라 순차적으로 세대마다 현관이 놓여졌고, 복층공간이 있는 전용면적 30평의 아파트 평면배치가 비록 3층은 70년대 말에 지어진 아파트들의 평면 스타일 이지만 구성됐다. 서로 다른 평면들의 틈새로 마당, 다양한 데크를 , 흥미로운 공간들이 놓여졌다.다양한 평면구성을 가능하게 하고, 흥미로운 공간을 만들어내는 것이 반드시 면적이나 기능의 손실을 동반하지는 않는다는 점을 확인하는 것은 가치있고, 즐거운 일이었다. 비록 공사비의 증가는 피할 수 없는 것이지만, 천정부지의 땅값을 고려한다면..."
D-00618,과천 K교수주택,경기,경기 과천시 -,경기,과천시,-,주거지역,경관지구,단독주택,,,,,,0,0,,,,
D-00621,자하당,경기,경기 과천시 중앙동 7-11,경기,과천시,중앙동 7-11,주거지역,미관지구,단독주택,290.9,,190.06,,,2,1,철근콘크리트조,벽지마감,,
D-00626,택형이네 집,경기,경기 광주시 퇴촌면 도수리 27-1,경기,광주시,퇴촌면 도수리 27-1,기타지역,취락지구,단독주택,23479,10672,20060,45.5,66.45,2,3,,시멘트몰탈스프레이,,
D-00627,시퀀스,경기,경기 구리시 아천동 368-3,경기,구리시,아천동 368-3,도시지역,경관지구,단독주택,327.65,181.2,196.09,55.3,59.85,2,0,철근콘크리트조,"노출콘크리트, 석고보드 위 수성페인트",노출콘크리트,
D-00628,김포 시암리주택,경기,경기 김포시 하성면 시암리 산224,경기,김포시,하성면 시암리 산224,농립지역,경관지구,단독주택,997.88,242.12,198.33,24.26,19.88,2,0,철근콘크리트조,,,"평생을 도시에서 살아온 60대후반의 노부부가 주말의 전원생활을 기대하며 장만한 부지. 그렇지만, 부지의 선택이 상당히 의외였다. 병장으로서 독립된 생활이 가능한 곳도 아니고, 편안하게 오갈 수 있는 곳도 아니다. 김포군 시암리는 군대의 검문 후 들어갈 수 있는 군사지역으로 외지인의 왕래가 극히 드문 아주 한적한 농촌마을이다. 나지막한 구릉의 한편의 자리에 자리잡은 SITE에선 경사면 높은 위치에선 한강 넘어 북한 민둥산이 보이고, 다른 마을 집보다 다소 높은 자리에 위치해 은밀하지도 않다. 시골 출신도 아닌, 그렇다고 북쪽의 실향민도 아닌 건축주가 이런 부지를 선택한 이유가 궁금하지만 정확한 답변은 없다. 단지 몸만 담구는 전원생활이 아닌, 마을과 산과, 들, 경작지, 시골사람들에 몸과 마음을 다 담그고 싶은 게 아닌가 추정할 따름이다.    크기가 주는 건물의 상징성은 생각보다 훨씬 강력하다. 대략 20여호가 띄엄띄엄 자리한 한가로운 농촌마을에 60여평이라는 규모는 너무 크다. 외지인의 건물로서 드러내기 보다는 농촌의 마을풍경과 같은 스케일을 유지하는 것이 마을의 CONTEXT를 훼손하지 않는 제1차적 방법이라 판단한다. 자연과의 연계를 최대화할 수 있도록 길게 늘어뜨린 매스를 각 기능공간별로 자른 다음, 300여평의 대지에 대지의 지형과 각 공간들이 요구하는 방향에 따라 흩뿌리는 방식으로 설계를 진행했다.    각 공간이 원하는 풍경을 담아내기 위해 각기 다른 높이와 창의 방향과 크기를 만들어주는 것으로 매스배치가 시작된다. 각 내부공간에 빛이 들어오는 방법의 스터디를 통한 매스형태를 구성으로 시간에 따라 달라지는 내부공간의 변화를 제공하며 각 다위공간의 특성을 부여한다.    대지 뒤 경사지와의 매개 공간은 GUESTROOM과 데크를 통해 프라이버시가 확보된 양지바른 안마당으로서 보다 편안하게 전원생활을 즐길 수 있다.     각 단위공간을 연결해 주는 동선공간과 매스들 사이의 틈새 공간을 통해 자연이 집안으로 들어온다. 시간과 계절의 흐름을 색깔로 냄새로 움직임으로 읽을 수 있다.    식당과 함께 원경을 바라보는 데크는 바베큐파티 등을 통해 이웃과 자연스럽게 만날 수 있는 공간을 마련한다."
D-00631,평심정,경기,경기 남양주시 와부읍 도곡리 683-2,경기,남양주시,와부읍 도곡리 683-2,상업지역,미관지구,단독주택,321,160.5,160.5,50,50,1,0,철골조,"바닥-데코타일    벽,천정-석고보드위 벽지, 페인트, 미송합판",노출콘크리트,
D-00632,수백당,경기,경기 남양주시 화도읍,경기,남양주시,화도읍,도시지역,,단독주택,1162,165.5,199.2,14.2,15.3,2,1,철근콘크리트조,"천장: 아크릴페인트, 한지  벽: 아크릴페인트, 한지  바닥: 온돌마루, 한지장판지",,"수백당의 설계작업    건축주  97년 가을 통인 김 사장으로부터 전화를 받게 된다. 어느 아는 분이 시골에 주택을 지으려 하는데 내가 꼭 설계해 주어야 한다는 것이다. 아마 내가 건축주를 가리는 못된 습성을 염두에 두고 한 말이었을 것이다. 이내 한 부인과 통화를 하게 되고 만나기로 약속한다. 중년의 후반에 들어선 듯 보이는 한 부부와 약속 장소인 워커힐 미술관에서 만나서 현장으로 향한다. 차 속에서 대강의 내용을 듣게 된다. 공직에서 물러나 개인 일을 하는 중년의 신사와 그림을 그리는 부인이 살게 되는 집이며 주말주택이 아니라 일상을 보낼 수 있는 집이 될 것이며, 가능하면 작은 집을 원한다고 하였다.   이야기를 나누는 도중 나는 이 부부의 심미안이 상당함을 느끼게 되었고 이는 그 후 여러 차례 만나는 동안 실제 확인하게 된다. 더구나 우리의 전통적 아름다움에 대한 혜안 뿐 아니라 식생에 대한 광범위한 그들의 상식으로나는 오히려 여러 가지 지식을 얻기도 했고 또 식물도감까지 뒤적여 기억해 놓지 않으면 그들의 상상을 따라갈 수 없을 정도였다.    대지  대지는 워커힐에서 40분 정도 차를 몰면 도달하는거리였지만 국도에서 벗어나 굽이쳐 들어가게 된 장소는 마치 깊은 산 속을 연상시킬 만큼 위요 되어 있다. 그 곳엔 이미. 4채의 집이 소위 전형적인탈도시주택처럼 있었고 우리의 땅은 이 집들을 거쳐 가장 깊숙한 곳에 위치하였다.  전체적으로 넓은 부지가 아니어서 주변의 산들이 그다지 높지는 않지만 전반적으로 다이나믹한 풍경을 만들고 있다. 뒤의 북쪽으로는 높지는 않지만 충분히 기댈 수 있는 산이 있고, 동남쪽으로는 깊이 트인 이 땅에 오르면 멀리 북한강의 자락과 그 주변의 마을들이 실루엣으로 보이는데 맑을 때는 브뤼겔의 그림처럼 보인다.   땅에 관한 여러 설명을 들은 후 나는 이 땅을 이리저리 소요하다가 벌써 집을 그리고 있는 모습을 스스로 발견하고 머쓱해 했다. 대개의 경우 현장을 보자마자건축에 대한 실마리를 찾는다는 것은 나에게 뿐 아니라 모두에게 매우 어려운 일일 게다. 그러나 간혹 뜻하지 않게 그런 행운이 섬광처럼 다가 올 때가 있다. 이 경우 더러는 건축의 치열한 작업과정을 생각해 볼 때 디행한 일이지만 또한 그것 때문에 그 내용을 반신반의하게 된다.    낮게 펼쳐진 집 - 그 때 그렸던 집이다.  나는 이 집의 이름을 守白堂으로 할 것을 어느 저녁을 먹는 자리에서 제의했다. 이 이름은 내가 만들어 낸 것이 아니라, 대구의 외곽에 있는 옛집의 이름인데 유홍준 교수가 나에게 소개해 준 것이었다. 백색을 지키는 집, 비움을 지키는 집, 소위 오기에 충만한 선비가 거처하게 되는 집이라는 뜻일 게다. 나는 그 자리에서 건축주의 호가 현초玄樵 임을 알게 되었다. 시골 늙은이라는 뜻이다. 현초 선생이 거하는 수백당. 참 잘 어울리는 이름이라고 생각한다. 문방을 만들게 되면 그 방의 이름은  玄樵居일 것이다.    경계와 영역  경계는 건축에서 참으로 민감한 부분이다. 바깥과 만나는 방법인 이 경계는, 바깥에 대한 이웃과 사회와 자연에 대한 거주인의의사이며 그 표현이 된다. 비탈진 땅을 부지로 조성하느라고 바위로 쌓아 올린 축대가 가장 눈에 거슬리는요인이었다. 따라서 길다란 담장이 불가피하게 다시 만들어져야 했고 이를 건축화 시키는 것이 우선이었다.   더구나 아주 다이나믹한 지형의 중심을 잡도록 집을 펼쳐 수평의 선을 가지는 것이 긴요하다고 판단하였으므로 이 길다란 담장은 그 크기의 한계를 저절로 만들어 준다.  30m의 길이는 여기에서 비롯하였으며 이 길이 자체가 건축의 한 부분이 되도록 하기 위해서 직교하는 다른 벽면이 필요하게 된다. 그 크기는 지형을 고려하여 15m로 정하였다.  따라서 30m길이와 15m깊이의 프레임이 이 집이 가질 수 있는 지형에 대한 최대의 크기로 판단하였다. 물론 이 건축주가 소유한 땅은 그보다 훨씬 많다. 그러나 그 소유의 경계는 주변 지형의 세력으로 영역이 한정되는 시골에서는 전술한 바와 같이 건축을 결정하는 모티브가 되기 어렵다.   건축가의 과업을 명확히 하기 위해 영역의 설계(Territorial Design)라는 말을 쓰게 되면 그 건축의 성격이 훨씬 설득력 있게 들린다. 다른 설계작업에서도 그러하지만 특히 이 집에서는 빌딩디자인을 할 생각은 추호도 없었다. 현초선생 부부가 사는 영역을 설계했다고 하는 게 정확한 말이 된다.    12개의 방  지하를 포함하여 60평 크기의 이 집은 12개의 방으로 구성되어 있다. 위가 덮여있는 실내의 방이 5개가 있으며 위가 뚫려있는 방, 즉 실외의 방이 7개가 있다. 실내든 실외든 이 12개의 방들은 모두 독립되어 있으며, 더러는 서로 긴밀히 연관되어 또 다른 영역을 만들 수도 있다. 그러나 원칙으로는 한 방이 다른 방에게 종속되지 않을 뿐 아니라 모두가 하나의 다른 세계이다.   하늘로 뚫려있는 방은 대부분 목적이 없다. 물을 담기도 하고 마루나 흙, 혹은 돌로 덮이기도 하겠지만 기본적으로는 공백이다. 이 공백이 마당으로 불려지지 않기를 바란다. 더더구나 정원이나 뜰이나 하는 말은 더욱 마땅치 않다. 마찬가자로 실내의 방들도 비단 욕실이나 주방처럼 어떤 곳은 설비가 있을 수 밖에 없어 그 용도 외는 딱히 없으련만 그래도 그 방들 마저 그런 용도만으로 이해되지 않게 되기를 바란다. 사실 30m15m의 프레임 속의 공간을 나눈 일이 그렇게 용도를 가정하고 했다고 말할 수 없으며 나눠진 방들에 편의상 이름을 붙여야 했을 때도 한참을 주저했었음을 기억한다.  기초 공사가 한참 진행 중일 때, 현초 선생은 2층에 방을 하나 만드는 것에 대해 물어왔다.   어디까지나 나의 의사를 100% 존중해 온 터라 그렇게 물어 올 때는 그 방이 참으로 절실했었기 때문이었으리라. 나는 한참을 생각해야 했다. 물론 내가 안 된다고 하면 그만이었다. 그들은 그렇게 나를 신뢰하였다. 사실 낮아야 한다는 생각은 뒤 땅의 주인에 대한 배려일 수도 있었는데 설계의 마무리 말엽에 뒤 땅마저 구입을 해버린 지라 그 배려는 소용없게 되었다.   몇 번을 고민한 끝에 그들의 어려운 제안을 받아 들이기로 결심한다. 그래서 2층에 다시 실내의 방 하나와 실외의 방 하나가 더하여져서 14개의 방이 된 셈이다. 애초의 생각보다 스케일은 커졌지만이로써 공간의 풍부함은 배가되었다.     백색  이 집은 흰색의 재료로 되어 있다. 솔직히 말하면 나는 요즘 재료 사용에서 제법 자유롭게 되었다. 그럼에도 불구하고이 집에서 또 백색을 고집한 이유는 이 백색 위에 많은 그림과 자국이 그려지고 남게 되길 더욱 바랬기 때문이다. 물론 수백당이라고 하는 이미지도 그대로 직역하고 싶어도 했고, 경제성도 간과할 수 없었으며 이 집의 설계 개념의 중요한 키워드인 VOID를 강조하기 위해서는 별 다른 방법이 없었기도 하다. 보다 정확히 이야기 하자면, 이 집은 건축이라기 보다는 삶의 형태로 읽혀지길 바랬기 때문에 더욱 그러하였다. 물론 그게 큰 의미에서의 건축일 것이라고도 믿는다. 따라서 집의 모양은 이제부터 만들어지게 될 것이다.    아무튼 공사는 끝났다. 지난해 노벨문학상을 받은 사라마구의 인터뷰기사가 요즘 내가 기거하는 런던의 한 신문에 실렸는데 그 중 한 마디가 한참을 생각하게 했다. '이제 나의 유일한 스승은 내가 쓴 소설이다. 나의 소설은 나에게 끊임없이 질책과 교훈을 준다' 아 그러하다. 나는 또 하나의 스승을 만든 셈이다. 이 집으로 나는 또 얼마만큼 질책을 받게 되며 그리하여 건축하는 일과 주택을 짓는 일을 또 얼마만큼 두려워하게 될 것인가."
D-00633,라미,경기,경기 남양주시 와부읍 도곡리 493,경기,남양주시,와부읍 도곡리 493,주거지역,경관지구,근린생활시설,329.36,197.33,294.29,59.91,89.35,2,0,철근콘크리트조,천정- 프로데마 보드바닥-목재플로링,노출콘크리트,"상황  의뢰받은 초기의 요구 사항은 재패니즈 멤버쉽 레스토랑(japanese membership restaurant)이었다. 대지는 한강 마포나루전의 덕소나루터다. 대지 주변의 덕소와 건너편 미사리의 모습은 현재 우리네 모습이다. 야생화를 좋아하고 불교에 심취한 건축주의 성품을 그대로 건축에 투영시킨다. 작업 중에 생각난 조각가 이사무노구치 단순하고 간소한 그의 작업을 가능하면 닮으려고 애썼다. 버릇대로 상호는 노구치로 내정, 그러나 우리가 가진 일본 느낌의 저항감 때문에 이름을 바꾸었다. 아무튼 레스토랑 및 카페다.    풍경  대지 앞의 도로는 시속 70km제한속도의 준고속도로다. 인지도를 높이기위한 시각적 충격장치로서 일곱개의 틈이 있는 벽을 세운다. 틈의 빛과 벽의 그림자, 야간에는 조명에 의한 일곱 개의 빛 기둥이다. 벽 앞에는 한 개의 돌덩이와 한 그루의 소나무, 자갈포장으로 조경을 결정한다.    동선  이 집의 키워드는 동선이다. 가로막힌 9m의 벽을 돌아서 진입, 2층으로만 접근하도록 유도한 램프를 두었다. 계단에 의해 양분된 2층. 불편한 내부동선은 기능을 상실한 듯하지만 기능이 부각된 동선이다. 프롬나드 건축(Promenade Architecture).    신전  대지는 남서향이다. 어쩌면 전형적인 석양 집일지도. 열주의 그림자가 바닥에 드리우도록 하였다. 그림자가 유일한 장식이다. 단일재료인 노출콘크리트의 역할은 정적과 고요함을 부여한다.    조망  지극히 조망이 멋지다. 유럽의 운하같은 풍취다. 대부분 조망을 위해 습관적으로 활짝 열어준다. 그러나 틈으로의 조망을 제안한다. 아름다운 것도 활짝 보면 짜증난다. 또한 이는 테이블과 의자의 배열을 고려한 결과다. 3m가 1조이면 1m씩 배치된다. 의자 1m, 테이블 1m, 의자 1m.    건축  대지가 건축을 만든다.  재료는 조형과 공간을 위한 수단이다.  건축은 정신의 결과다."
D-00644,금토동 주택,경기,경기 성남시 수정구 금토동,경기,성남시,수정구 금토동,도시지역,시설보호지구,단독주택,329,161.98,189.72,49.23,57.6,1,1,철근콘크리트조,무늬목,석조,"이 게스트 하우스는 서울의 남쪽 경기도의 등산으로 유명한 청계산의 울창한 산기슭 낮은 산자락에 에워 쌓인 듯한 풍경(風景)속에 이 건축이 자리잡고 있다, 그리고 2,3년 후에는 이 건축의 주변에 백색(白色)의 매화와 홍색(紅色)의 매화꽃이 어우러져 피어 있는 정원이 계획되어있다.    설계(設計)에 대하여 의뢰자의 요구사항은 하나하나가 간결 명확하며 대담한 면이 있었다. [이 장소는 친척, 친구를 초대하여 파티가 가능할 수 있도록, 때로는 주말에 이곳에 와서 독서, 산보 등으로 지내고 싶다.] 이러한 의미(意味)에서 별장이라고도 말 할 수 있을지 모르겠다. 그린벨트라는 조건 외에 많은 법적인 규제를 해결하면서 하지 않으면 안되는 어려운 설계 과정이었다고 하겠다. 공간개념(空間槪念)으로서는, 필연적(必然的)으로 만들어진 두개의 상자(box)를 어떻게 연결(連結)시켜, 서로 공존(共存)하는 새로운 세계를 얻을 수 있을까. 그리고 두 개의 상자를 단지 평면에 옮겨 놓은 것이 아닌 토지(土地)의 고저차(高低差)를 이용하여 어떻게 입체적(立體的)으로 연결할 것인가가 설계과정의 중요한 포인트라고 할 수 있겠다. 우선 생각한 것이 [빛을 어떻게 통하게 할까]가 설계에 있어서 하나의 중요한 과제였다. 본 계획의 모형에서 남쪽에 면한 하나의 상자-상부를 태양의 빛의 움직임  에 맞추어 도려낸 순간, 그것이 곡선의 신선한 지붕 형태로서 모습을 드러냈다. 이것이야말로 자연과의 대화(對話)에 의한 조형(造形)이라고 말할 수 있을지도 모르겠다.    이번 설계는 나무(木), 돌(石), 벽돌이라는 자연의 일부로써 존재하고 있는 소재(素材)를 의도적으로 많이 사용했다. 그리고 이 건축의 어딘가에 [복고조(復古調, retro)가 시적(詩的)으로 잠재하여 있는 공간(空簡)으로의 계획을 의도하였다. 특히 외부(外部)를 철저히 벽돌로 구축(構築)한 하나의 입체의 상자는 고전(古典)으로써 [과거로 이어지다], 백석으로 에워싼 또 하나의 상자는 미래 지향적 건축-[미래로 잇다]를 의도하였다. 나무(木), 돌(石), 흙(土)이라는 마치 살아 숨쉬고 있는 듯한 소재(素材)는 나의 테마이면서, 오랜 세월 건축에 일관하여 온 나의 작품에 계속하여 사용해 왔다고 말할 수 있다. 이러한 소재(素材)는 건축으로써 오랜시간동안 견디어내고, 시간이 지나면 지날수록 독자(獨自)의 멋이 생기고, 그 친밀감(親密感)과 함께 깊고 유유한 숨결과 심미(深味)는 다른 어떠한 소재에서도 찾아볼 수 없다.    21세기의 건축은 적어도 간단히 부수거나 소비할 것이 아니다, 또 편리함만을 추구해서도 안된다. 건축의 골격(骨格)과 피부가 견고하다면, 오랜시간 견디어 내며, 또한 낡아지면 다시 재생시켜 새로운 공간을 창출(創出)할 수 있다. 그러한 풍요로움[참다운 풍요로움을 건축가들은 예감(豫感)하면서 무엇인가를 만든다는 것]에 철저하고 싶다고 생각한낟. 그리고 참다운 의미에서의 건축에 있어서 [풍요로움]의 호기득은 작자(作者)의 조형(造形)의 순수성(純粹性)과 강집한 기원(冀願)을 드린 조형감상(造形感賞)이 [마음(心)의 기저(基底)]가 되지 않으면 안된다고 생각한다.    글.이타미준"
D-00645,한솔집,경기,경기 성남시 분당구 이매동,경기,성남시,분당구 이매동,준주거지역,개발진흥지구,단독주택,,,,,,0,0,,,,
D-00646,분당 C-11-4-12,경기,경기 성남시 분당구 분당동 51-5,경기,성남시,분당구 분당동 51-5,도시지역,경관지구,단독주택,617.3,196.75,319.96,31.87,51.3,2,0,철근콘크리트조,"바닥:메이플온돌마루판  벽,천장:졸라톤페인트,벽지",,
D-00649,분당_109,경기,경기 성남시 분당구 율동 109,경기,성남시,분당구 율동 109,주거지역,미관지구,단독주택,309,61,348,19.9,51.4,3,1,철골조,"석고보드 위 페인트, 강화마루, 베이스패널",노출콘크리트,
D-00660,분당집합주택,경기,경기 성남시 분당구 구미동 247,경기,성남시,분당구 구미동 247,주거지역,취락지구,단독주택,273960,40786.3,622771.69,14.89,191.27,0,0,철근콘크리트조,바닥:목재마루 / 천정벽:석고보드위 페인트,석조,
D-00670,권선동사무소,경기,경기 수원시 권선구 권선동 1165,경기,수원시,권선구 권선동 1165,기타지역,경관지구,근린생활시설,1193,414.45,694.01,34.71,53.43,2,1,철근콘크리트조,,타일,
